season,week,player_id,player_name,team,opponent,position,game_id,home_team,away_team,is_home,spread_line,total_line,team_implied_total,opponent_implied_total,favorite_status,spread_bucket,game_total_bucket,pass_volume_environment,rush_volume_environment,game_script_score,game_environment_reliability,game_environment_notes
2025,1,,K.Philips,TEN,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,B.Cooks,DAL,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,E.All,CIN,,TE,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,C.Samuel,BUF,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,D.Gore,WAS,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,D.Wicks,GB,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,R.Jarrett,TB,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,T.Scott,CHI,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,00-0034869,S.Darnold,MIN,LA,QB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,R.Freeman,LA,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,R.Mostert,MIA,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,D.Culp,TB,,TE,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,G.Smith,SEA,LA,QB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,B.Powell,MIN,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,B.Bolden,LV,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
